timestamp,Source IP,Source Port,Destination IP,Destination Port,Protocol,Label
2025-01-01T00:00:00,10.0.6.190,15652,192.168.70.63,80,TCP,DoS Hulk
2025-01-01T00:01:00,10.0.228.140,28675,192.168.22.152,21,TCP,DoS Hulk
2025-01-01T00:02:00,10.0.59.130,37805,192.168.154.7,443,DNS,BENIGN
2025-01-01T00:03:00,10.0.114.151,57994,192.168.71.208,21,UDP,BENIGN
2025-01-01T00:04:00,10.0.87.72,63755,192.168.39.56,53,TCP,DoS Hulk
2025-01-01T00:05:00,10.0.24.92,40589,192.168.216.89,3389,TCP,BENIGN
2025-01-01T00:06:00,10.0.137.32,25831,192.168.249.237,22,DNS,DoS Hulk
2025-01-01T00:07:00,10.0.160.159,24724,192.168.226.221,443,TCP,BENIGN
2025-01-01T00:08:00,10.0.58.198,6253,192.168.74.253,443,TCP,BENIGN
2025-01-01T00:09:00,10.0.116.163,11683,192.168.213.94,53,HTTP,BENIGN
2025-01-01T00:10:00,10.0.68.180,43493,192.168.239.175,22,DNS,BENIGN
2025-01-01T00:11:00,10.0.136.187,31318,192.168.62.42,8080,HTTP,DoS Hulk
2025-01-01T00:12:00,10.0.163.177,45890,192.168.142.57,53,TCP,Infiltration
2025-01-01T00:13:00,10.0.8.207,18570,192.168.80.103,22,UDP,BENIGN
2025-01-01T00:14:00,10.0.145.225,14958,192.168.183.81,3306,HTTPS,SSH-Patator
2025-01-01T00:15:00,10.0.164.118,10174,192.168.36.68,443,DNS,FTP-Patator
2025-01-01T00:16:00,10.0.191.150,39266,192.168.109.230,8080,HTTP,BENIGN
2025-01-01T00:17:00,10.0.35.131,50554,192.168.126.24,21,TCP,BENIGN
2025-01-01T00:18:00,10.0.40.203,40110,192.168.174.109,22,HTTPS,BENIGN
2025-01-01T00:19:00,10.0.119.136,37280,192.168.64.249,21,TCP,BENIGN
2025-01-01T00:20:00,10.0.137.193,43030,192.168.68.197,53,TCP,DoS Hulk
2025-01-01T00:21:00,10.0.40.117,48347,192.168.0.245,3389,DNS,BENIGN
2025-01-01T00:22:00,10.0.129.234,42003,192.168.27.223,3389,DNS,PortScan
2025-01-01T00:23:00,10.0.39.96,36372,192.168.195.42,21,DNS,BENIGN
2025-01-01T00:24:00,10.0.4.29,58611,192.168.237.93,3389,UDP,BENIGN
2025-01-01T00:25:00,10.0.224.146,6637,192.168.242.21,3306,TCP,BENIGN
2025-01-01T00:26:00,10.0.136.197,44261,192.168.32.33,3306,DNS,Bot
2025-01-01T00:27:00,10.0.135.224,64224,192.168.155.109,443,DNS,BENIGN
2025-01-01T00:28:00,10.0.176.52,27172,192.168.182.80,53,HTTPS,PortScan
2025-01-01T00:29:00,10.0.115.31,5220,192.168.63.58,53,TCP,FTP-Patator
2025-01-01T00:30:00,10.0.58.151,5676,192.168.56.2,21,UDP,BENIGN
2025-01-01T00:31:00,10.0.8.221,34719,192.168.84.19,443,HTTP,BENIGN
2025-01-01T00:32:00,10.0.54.139,62333,192.168.33.186,3306,UDP,DoS Hulk
2025-01-01T00:33:00,10.0.206.105,7376,192.168.48.25,8080,HTTP,PortScan
2025-01-01T00:34:00,10.0.119.222,45153,192.168.186.14,22,TCP,BENIGN
2025-01-01T00:35:00,10.0.86.205,17319,192.168.220.28,443,UDP,BENIGN
2025-01-01T00:36:00,10.0.35.109,31342,192.168.46.72,443,TCP,BENIGN
2025-01-01T00:37:00,10.0.220.220,4339,192.168.140.26,21,TCP,BENIGN
2025-01-01T00:38:00,10.0.217.61,32850,192.168.42.105,3306,UDP,SSH-Patator
2025-01-01T00:39:00,10.0.231.16,1165,192.168.42.98,8080,HTTP,DDoS
2025-01-01T00:40:00,10.0.200.117,46675,192.168.73.109,3306,UDP,SSH-Patator
2025-01-01T00:41:00,10.0.55.248,49241,192.168.14.149,21,HTTP,BENIGN
2025-01-01T00:42:00,10.0.149.123,56907,192.168.128.236,80,TCP,BENIGN
2025-01-01T00:43:00,10.0.20.218,40020,192.168.47.18,22,UDP,Web Attack – Sql Injection
2025-01-01T00:44:00,10.0.241.228,38964,192.168.145.64,21,DNS,BENIGN
2025-01-01T00:45:00,10.0.168.150,21757,192.168.144.134,3389,UDP,BENIGN
2025-01-01T00:46:00,10.0.80.62,9601,192.168.67.102,3389,HTTPS,DoS Hulk
2025-01-01T00:47:00,10.0.192.240,31058,192.168.18.3,22,TCP,BENIGN
2025-01-01T00:48:00,10.0.129.68,23896,192.168.33.239,22,UDP,BENIGN
2025-01-01T00:49:00,10.0.40.113,47131,192.168.213.140,3389,DNS,BENIGN
2025-01-01T00:50:00,10.0.206.168,44793,192.168.135.3,3389,TCP,Bot
2025-01-01T00:51:00,10.0.34.68,8038,192.168.29.228,80,HTTP,Web Attack – XSS
2025-01-01T00:52:00,10.0.53.184,46079,192.168.87.53,3389,DNS,BENIGN
2025-01-01T00:53:00,10.0.231.233,7072,192.168.216.14,8080,HTTP,BENIGN
2025-01-01T00:54:00,10.0.85.198,65236,192.168.33.164,3389,UDP,BENIGN
2025-01-01T00:55:00,10.0.141.181,1657,192.168.109.144,22,TCP,PortScan
2025-01-01T00:56:00,10.0.176.232,3385,192.168.38.140,53,DNS,Web Attack – XSS
2025-01-01T00:57:00,10.0.110.33,24921,192.168.10.79,21,HTTP,BENIGN
2025-01-01T00:58:00,10.0.63.171,52149,192.168.26.91,8080,DNS,BENIGN
2025-01-01T00:59:00,10.0.236.239,11673,192.168.60.222,80,HTTPS,PortScan
2025-01-01T01:00:00,10.0.188.237,62025,192.168.85.201,8080,UDP,BENIGN
2025-01-01T01:01:00,10.0.201.180,58182,192.168.27.98,21,HTTPS,BENIGN
2025-01-01T01:02:00,10.0.209.236,21024,192.168.117.90,443,UDP,BENIGN
